College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Indian Institute of Technology Madras ,Tamil nadu,Engineering,75116.0,23070.0,8.7,9,7.9,8.7,8.8,8.8,9
"College of Engineering, Anna University ",Tamil nadu,Engineering,50000.0,50000.0,8.4,8.7,7.7,8.1,8.7,8.3,8.7
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,149250.0,99250.0,8.5,8.6,7.8,8.2,8.7,8.8,8.7
Vellore Institute of Technology ,Tamil nadu,Engineering,198000.0,183000.0,8.3,8.3,8,7.8,8.9,8.5,8.5
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,260000.0,170000.0,7.2,6.5,6.6,6.9,7.6,7.1,8.3
SSN College of Engineering ,Tamil nadu,Engineering,50000.0,50000.0,8.6,8.9,7.6,8.7,9.1,8.3,8.8
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,167000.0,157000.0,8.1,8.5,7,8.2,8.3,8.7,8.1
P.S.G College of Technology ,Tamil nadu,Engineering,87000.0,154000.0,9,9.2,8.7,8.9,9,9.1,8.8
Thiagarajar College of Engineering ,Tamil nadu,Engineering,50000.0,50000.0,8.6,8.9,7.9,8.6,8.6,8.7,8.6
Coimbatore Institute of Technology ,Tamil nadu,Engineering,23670.0,132710.0,8,8.5,6.8,8.2,7.4,8.4,8.5
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,213500.0,121500.0,7.9,7.9,7.9,7.9,8.5,7.5,7.4
Kumaraguru College of Technology ,Tamil nadu,Engineering,50000.0,50000.0,8.2,8.3,7.6,8,8.8,7.9,8.5
"VEL Tech, Chennai ",Tamil nadu,Engineering,50000.0,0.0,8.2,8.5,8.5,8.1,7.8,8.3,8.1
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,134000.0,104150.0,8.1,8.5,8.1,8.3,8.6,7.9,7
Government College of Technology ,Tamil nadu,Engineering,9180.0,10110.0,8.1,8.4,7.1,8.3,8,8,8.8
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,229500.0,125500.0,7.6,7.8,6.9,7.8,7.9,6.9,8
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,50000.0,50000.0,8.1,8.2,7.4,8.2,9,8.2,7.7
Kongu Engineering College ,Tamil nadu,Engineering,60000.0,65000.0,8.3,8.3,7.7,8.3,8.9,8.3,8.3
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,60000.0,35000.0,8.3,8.2,8.1,8,9.1,8.1,8.2
"Sona College of Technology, Salem ",Tamil nadu,Engineering,200000.0,229000.0,8.1,8.5,7.3,8.3,8.3,7.9,8.5
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,21415.0,33325.0,8.3,8.4,8,8.4,8.2,8.2,8.4
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,60000.0,65000.0,8,7,--,--,9,8,--
Saveetha Engineering College ,Tamil nadu,Engineering,85000.0,60000.0,8,8.1,7.3,8.1,8.6,7.7,7.9
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,50000.0,25000.0,7.7,8.4,7.3,7.9,8.2,7.9,6.7
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,85000.0,40000.0,8.2,8.4,7.8,8.3,8.7,7.7,8.2
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,55000.0,60000.0,8.1,8.4,7.7,8,8.3,8.3,8
Rajalakshmi Engineering College ,Tamil nadu,Engineering,50000.0,50000.0,7.8,8.1,6.3,8.1,8,8.3,7.7
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,65000.0,60000.0,8.2,8.4,7.4,8.4,8.6,8.1,8
IIT Bombay ,Maharashtra,Engineering,228000.0,32000.0,8.9,9.3,7.9,8.7,8.9,9.1,9.2
Institute of Chemical Technology ,Maharashtra,Engineering,85350.0,70750.0,8.7,9.1,8.1,8.9,8.7,8.4,9.1
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,149200.0,93600.0,8.1,8.3,7.5,8,8.4,7.7,8.7
College of Engineering ,Maharashtra,Engineering,40500.0,64500.0,8.6,8.7,8.2,8.1,8.5,8.7,9.1
Defence Institute of Advanced Technology ,Maharashtra,Engineering,153600.0,45000.0,8.8,9,8.6,8.8,9,8.6,8.6
National Institute of Industrial Engineering ,Maharashtra,Engineering,598000.0,104000.0,9,9,9,9,9,9.3,8.6
Army Institute of Technology ,Maharashtra,Engineering,180197.0,120560.0,8.3,8,8.5,7.6,7.9,8.7,9
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,120000.0,50000.0,7.8,8.1,6.8,7.9,8.1,7.7,8.2
Veermata Jijabai Technological Institute ,Maharashtra,Engineering,84051.0,83734.0,7.9,8.2,7.2,7.8,7.1,8.7,8.4
GH Raisoni College of Engineering ,Maharashtra,Engineering,560000.0,132000.0,8.4,8.5,8,8.4,8.5,8,8.8
Mukesh Patel School of Technology Management and ,Maharashtra,Engineering,452000.0,501500.0,8.2,8.1,8,7.8,8.7,8.1,8.3
Sardar Patel Institute of Technology ,Maharashtra,Engineering,170000.0,168000.0,8.1,8.4,6.9,7.9,8.3,9.1,8.1
Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering,145000.0,125000.0,8.1,8.3,7.6,8,7.9,8.3,8.2
Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering,33600.0,60000.0,7.5,8,7.2,7.7,7.9,6.9,7.4
Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering,151801.0,153328.0,7.6,7.7,7,7.6,8.2,7.2,7.6
Walchand College of Engineering ,Maharashtra,Engineering,84935.0,96550.0,8.3,8.4,7.3,8.3,8.4,8.8,8.4
MIT World Peace University ,Maharashtra,Engineering,310000.0,190000.0,8,8.1,7,8,8.5,7.7,8.4
Vishwakarma Institute of Information Technology ,Maharashtra,Engineering,164000.0,78000.0,7.8,8.2,6.8,8.1,7.4,8,8.1
Ramrao Adik Institute of Technology ,Maharashtra,Engineering,325000.0,150000.0,8.6,8.2,8,8.1,9,8.7,9.3
Sardar Patel College of Engineering ,Maharashtra,Engineering,170000.0,168000.0,8,8.3,7.2,7.9,8,8.1,8.2
K. J. Somaiya College of Engineering ,Maharashtra,Engineering,286000.0,196800.0,8.2,8.2,8,7.7,8.7,8,8.5
Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering,138559.0,107687.0,8.1,8.7,7.6,8.1,7.9,8.6,7.5
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering,180836.0,155200.0,8.3,8.3,8,8.1,7.8,9,8.6
Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering,194000.0,139000.0,8.2,8.2,7.7,8.2,8.4,8.3,8.2
Thakur College of Engineering and Technology ,Maharashtra,Engineering,147500.0,136931.0,8.2,8.1,8,7.9,9.1,7.9,8.4
SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering,302000.0,0.0,8.2,8.5,6.8,8.6,8.3,8.3,8.7
"Amity University, Mumbai ",Maharashtra,Engineering,222000.0,150000.0,8.1,7.9,7.6,8.2,8.4,7.8,8.6
"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering,179895.0,88765.0,7.5,8.1,6.5,7.9,6.5,7.8,8.4
Indian Institute of Information Technology ,Maharashtra,Engineering,234500.0,100500.0,7.8,8.2,7.5,8,7.2,8.4,7.5
Tata Institute of Social Sciences ,Maharashtra,Engineering,0.0,0.0,8.6,9,8.1,8.9,8.6,8.4,8.6
Indian Institute of Technology ,Uttar pradesh,Engineering,215600.0,214050.0,8.9,9.1,8.4,8.7,9.3,8.9,9.1
Indian Institute of Technology ,Uttar pradesh,Engineering,84981.0,36815.0,8.5,8.5,8.2,8.1,7.6,9.1,9.2
"Amity University, Noida ",Uttar pradesh,Engineering,311000.0,140000.0,8.2,8,7.9,8.1,8.9,7.6,8.7
Aligarh Muslim University ,Uttar pradesh,Engineering,269445.0,430970.0,8.3,8.8,7.9,8.5,8.8,7.2,8.6
MNNIT Allahabad ,Uttar pradesh,Engineering,84666.0,118000.0,8,8.4,7.3,7.8,7.1,8.9,8.2
Jaypee Institute of Information Technology University ,Uttar pradesh,Engineering,236500.0,120000.0,7.8,7.8,7.7,7.3,8.2,7.8,7.7
Indian Institute of Information Technology ,Uttar pradesh,Engineering,104000.0,280400.0,8.3,8.4,7.4,7.6,9,9.2,8.1
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Engineering,51300.0,26500.0,8,8.3,7.1,8.5,8.1,8.2,8
Sharda University ,Uttar pradesh,Engineering,163770.0,97850.0,7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University ,Uttar pradesh,Engineering,159000.0,45000.0,7.6,7.9,6.9,7.9,7.5,7.7,7.8
"Bennett University, Greater Noida ",Uttar pradesh,Engineering,350000.0,60000.0,8.6,8.5,7.9,8.8,9.2,8.3,8.6
Shiv Nadar University ,Uttar pradesh,Engineering,200000.0,160000.0,9,8.8,8.7,8.8,9.6,8.5,9.4
"Integral University, Lucknow ",Uttar pradesh,Engineering,140000.0,80000.0,7.4,7.6,7.3,7.4,8,6.5,7.4
J.S. University ,Uttar pradesh,Engineering,47500.0,13500.0,8.5,8.5,7.8,8.7,9,8.2,8.6
"GLA University, Mathura ",Uttar pradesh,Engineering,178000.0,75000.0,8.2,8.2,7.9,8.3,8.3,8.2,8.1
Institute of Engineering and Technology ,Uttar pradesh,Engineering,89775.0,73200.0,7.4,7.6,7.7,7,7.3,7,7.8
Sanskriti University ,Uttar pradesh,Engineering,115000.0,45000.0,7,7.2,6.7,7,7.5,6.9,6.8
"Monad University, Hapur ",Uttar pradesh,Engineering,151000.0,35500.0,8,7.6,7.4,8.5,8,8.2,8.1
Indian Institute of Information Technology ,Uttar pradesh,Engineering,218700.0,218700.0,7.8,7.6,7.2,7.4,6.8,9.4,8.1
"IFTM University, Moradabad ",Uttar pradesh,Engineering,107000.0,75000.0,7.8,7.9,7.5,8.1,8,6.8,8.3
"Shobhit University, Meerut ",Uttar pradesh,Engineering,111200.0,122400.0,7.8,8.4,7.3,7.8,8.3,7,7.9
"Glocal University, Saharanpur ",Uttar pradesh,Engineering,144000.0,94000.0,7.1,7.5,6.9,7,6.7,7.2,7.3
"Rama University, Kanpur ",Uttar pradesh,Engineering,90000.0,75000.0,6.7,6.6,6.1,7.3,6.5,6.6,7.1
Noida Institute of Engineering and Technology ,Uttar pradesh,Engineering,614000.0,213000.0,7.6,8.1,7.1,8,7.6,7.8,7.1
"ABES Engineering College, Ghaziabad ",Uttar pradesh,Engineering,143700.0,130000.0,7.9,8.1,7.2,8.1,8.2,7.8,8
Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,Engineering,61800.0,59300.0,7.1,7.3,7,6.9,7.4,6.2,8
Harcourt Butler Technological University ,Uttar pradesh,Engineering,135000.0,83300.0,7.3,7.5,6.9,7.4,6.5,7.8,7.8
Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,Engineering,221100.0,42100.0,8.6,8.7,8.6,8.2,9.2,8.2,8.6
Indian Institute of Technology ,Delhi ncr,Engineering,220300.0,132900.0,8.7,9,7.8,8.7,8.9,9,9
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Engineering,16150.0,8970.0,8,8.4,7.6,8.3,8.4,7.2,8.2
Delhi Technological University ,Delhi ncr,Engineering,190000.0,166000.0,8.2,7.9,7.6,7.5,8.6,8.6,8.8
"Amity University, Noida ",Delhi ncr,Engineering,311000.0,140000.0,8.2,8,7.9,8.1,8.9,7.6,8.7
Indraprastha Institute of Information Technology ,Delhi ncr,Engineering,360000.0,100000.0,8.7,8.8,8.7,8.9,8.9,8.6,8.2
Guru Gobind Singh Indraprastha University ,Delhi ncr,Engineering,117200.0,23000.0,7.8,8.1,7.5,8,8.1,6.9,8.1
Jaypee Institute of Information Technology University ,Delhi ncr,Engineering,236500.0,120000.0,7.8,7.8,7.7,7.3,8.2,7.8,7.7
National Institute of Food Technology Entrepreneurship and ,Delhi ncr,Engineering,171550.0,152950.0,8.1,8.5,7.1,6.9,9.4,8.5,7.9
"School of Engineering and Technology, NCU ",Delhi ncr,Engineering,260000.0,82000.0,9,9,--,--,9,--,--
"J.C. Bose University Of Science And Technology, ",Delhi ncr,Engineering,83625.0,83625.0,7.3,7.7,6.5,7.4,6.6,7.7,7.6
Indira Gandhi Delhi Technical University For Women ,Delhi ncr,Engineering,88000.0,33000.0,7.6,7.7,7,7.6,6.9,8.3,7.9
Manav Rachna International Institute Of Research And ,Delhi ncr,Engineering,181500.0,116000.0,7.2,7.1,6.7,6.5,8.4,6.5,7.8
Sharda University ,Delhi ncr,Engineering,163770.0,97850.0,7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University ,Delhi ncr,Engineering,159000.0,45000.0,7.6,7.9,6.9,7.9,7.5,7.7,7.8
Netaji Subhas University of Technology ,Delhi ncr,Engineering,190000.0,120000.0,7.8,7.9,7.1,7.6,7.6,8.9,7.9
Shiv Nadar University ,Delhi ncr,Engineering,200000.0,160000.0,9,8.8,8.7,8.8,9.6,8.5,9.4
Manav Rachna International Institute of Research and ,Delhi ncr,Engineering,181500.0,165000.0,7.5,7.4,7.3,7.5,8.3,6.6,7.6
National Institute of Technology ,Delhi ncr,Engineering,96866.0,198500.0,6.8,7.3,6,7.1,6,7.6,6.8
"Gurugram University, Gurgaon ",Delhi ncr,Engineering,40000.0,0.0,8.2,8.6,7.4,8.4,8.6,8,8.1
Chhotu Ram Rural Institute Of Technology ,Delhi ncr,Engineering,33450.0,33450.0,8.4,8.7,8.1,8.4,8.7,8.1,8.2
SunRise University ,Delhi ncr,Engineering,72200.0,32200.0,8.1,8.1,7.3,8.7,8.1,7.9,8.4
"Monad University, Hapur ",Delhi ncr,Engineering,151000.0,35500.0,8,7.6,7.4,8.5,8,8.2,8.1
"Amity University, Gurgaon ",Delhi ncr,Engineering,230000.0,156000.0,7.7,7.8,7.1,7.6,8.6,7.1,8.1
"Shobhit University, Meerut ",Delhi ncr,Engineering,111200.0,122400.0,7.8,8.4,7.3,7.8,8.3,7,7.9
Indraprastha Institute of Technology and Management ,Delhi ncr,Engineering,125000.0,0.0,8.3,8.3,8,8.7,7.8,8.7,8.5
Maharaja Agrasen Institute of Technology ,Delhi ncr,Engineering,143200.0,0.0,7.5,7.8,7.2,7.7,7.5,7.5,7.4
Maharaja Surajmal Institute of Technology ,Delhi ncr,Engineering,135300.0,0.0,7.3,7.9,6.7,7.5,6.8,7.7,7.1
Noida Institute of Engineering and Technology ,Delhi ncr,Engineering,614000.0,213000.0,7.6,8.1,7.1,8,7.6,7.8,7.1
K L University ,Andhra pradesh,Engineering,250000.0,145000.0,8.3,8.5,7.6,8.3,8.8,8.3,8.2
"Andhra University, College of Engineering ",Andhra pradesh,Engineering,10000.0,109000.0,7.7,8.2,6.9,7.8,8,7.2,7.9
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,Engineering,16395.0,31647.0,7.8,7.6,8.4,7.4,8.1,6.9,8.1
"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,Engineering,250000.0,110000.0,8.2,8.2,8.4,8.5,8.2,7.7,8.4
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,Engineering,10000.0,30000.0,7.7,8,7.1,7.8,8.2,7,8.3
Sree Vidyanikethan Engineering College ,Andhra pradesh,Engineering,280000.0,76850.0,8.5,8.4,8.5,8.3,8.8,8.4,8.6
G. Pulla Reddy Engineering College ,Andhra pradesh,Engineering,80000.0,80000.0,8.3,8.5,7.7,8.5,8.5,8.2,8.4
Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,Engineering,89350.0,75000.0,7.9,8.3,7.9,8,8.2,7.3,7.5
Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,Engineering,71050.0,70000.0,8.2,8.6,7.6,8.4,8.4,8.2,8.1
Shri Vishnu Engineering College for Women ,Andhra pradesh,Engineering,95000.0,55000.0,8.8,8.7,8.6,8.5,9.3,8.8,9
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,Engineering,25000.0,38750.0,7,7.1,7.3,6.7,7.5,6.3,7.3
Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,Engineering,30000.0,57000.0,8.2,8.5,7.5,8.4,8.3,8.2,8.3
Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,Engineering,276000.0,100000.0,7.7,8.3,6.8,8,7.3,8.1,7.4
Jawaharlal Nehru Technological University ,Andhra pradesh,Engineering,100000.0,0.0,7.4,7.7,6.8,7.1,7.7,7.1,7.8
Indian Institute of Technology ,Andhra pradesh,Engineering,16950.0,78218.0,8.6,9,8.1,8.8,8.7,8.2,8.9
Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,Engineering,280000.0,140000.0,7.9,8.1,7.3,8.1,8.1,7.9,7.8
Centurion University of Technology and Management ,Andhra pradesh,Engineering,125000.0,60000.0,7.8,8,7.2,8.3,7.6,7.4,8.3
Aditya Engineering College ,Andhra pradesh,Engineering,72000.0,29500.0,7.8,7.9,7.4,7.8,8.5,7.4,7.9
Bapatla Engineering College ,Andhra pradesh,Engineering,75000.0,90000.0,7.5,7.8,7.3,7.7,8.2,6.5,7.7
Gudlavalleru Engineering College ,Andhra pradesh,Engineering,81600.0,74850.0,8.2,8.5,7.7,8.4,8.7,7.5,8.1
Sri Venkateswara College of Engineering ,Andhra pradesh,Engineering,80000.0,75000.0,8.3,8.3,8,8.1,9,7.8,8.5
Sri Vasavi Engineering College ,Andhra pradesh,Engineering,189000.0,60850.0,7.9,8.1,7.4,8,8.3,7.6,7.8
Indian Institute of Information Technology Sri City ,Andhra pradesh,Engineering,103000.0,271000.0,7,7.9,6.4,7.1,6.9,7.3,6.4
National Institute of Technology ,Andhra pradesh,Engineering,187500.0,100000.0,7.2,7.9,6.6,7.5,6.9,6.9,7.2
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,Engineering,39000.0,96000.0,8.2,8.4,7.6,8.1,8.9,7.7,8.5
Raghu Engineering College ,Andhra pradesh,Engineering,85000.0,57000.0,8.1,8.3,7.1,8.1,8.4,8.5,8
Indian Institute of Information Technology Design and ,Andhra pradesh,Engineering,144600.0,67500.0,7.4,7.9,7.6,8,6.7,7.2,7.2
Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,Engineering,69100.0,62800.0,7.4,7.8,7.2,7.6,8,6.2,7.4
VIT University ,Andhra pradesh,Engineering,198000.0,193000.0,8.2,8.3,7.9,8.3,8.1,8.4,8.1
National Institute of Technology ,Karnataka,Engineering,152730.0,100355.0,8.4,8.7,7.2,8.2,8.4,8.9,8.9
Manipal Institute of Technology ,Karnataka,Engineering,335000.0,210000.0,8.7,8.5,8.5,8.1,9.4,8.1,9.3
R V College of Engineering ,Karnataka,Engineering,350000.0,37700.0,8.5,8.7,7.9,8.2,8.6,9,8.4
Ramaiah Institute of Technology ,Karnataka,Engineering,86226.0,96570.0,8.4,8.5,7.8,8.3,8.7,8.3,8.6
International Institute of Information Technology ,Karnataka,Engineering,164000.0,324000.0,8.7,9.2,8.5,9.1,8.8,8.9,7.6
BMS College of Engineering ,Karnataka,Engineering,229110.0,26800.0,8.2,8.4,8,8,8,8.3,8.7
Siddaganga Institute of Technology ,Karnataka,Engineering,79475.0,92975.0,7.8,8.1,7.2,7.7,8.1,8,7.6
New Horizon College of Engineering ,Karnataka,Engineering,250000.0,75000.0,8,8,7.6,8.1,8.3,7.8,8.2
"Faculty of Engineering and Technology, Jain University ",Karnataka,Engineering,197500.0,85000.0,8.1,8,7.9,8,8.3,7.7,8.5
Sri Jayachamarajendra College of Engineering ,Karnataka,Engineering,475000.0,140000.0,8.3,8.4,7.6,7.8,8.5,8.7,8.6
Dayananda Sagar College of Engineering ,Karnataka,Engineering,96106.0,292720.0,8,8,7.4,7.7,8.8,7.7,8.3
NMAM Institute of Technology ,Karnataka,Engineering,163000.0,83220.0,7.9,8,7.5,8.2,8.1,7.5,7.9
Nitte Meenakshi Institute of Technology ,Karnataka,Engineering,58806.0,65390.0,7.8,8.1,7.1,7.9,7.8,7.6,8.1
PES University ,Karnataka,Engineering,340000.0,200000.0,8,8.5,7.7,8.1,8.1,8.1,7.6
BMS Institute of Technology and Management ,Karnataka,Engineering,350000.0,0.0,7.9,8.2,7.7,8,7.7,7.9,7.7
"KLE Technological University, Hubli ",Karnataka,Engineering,15000.0,40000.0,8.4,8.5,7.6,8.2,9.1,8.4,8.4
Dr. Ambedkar Institute of Technology ,Karnataka,Engineering,30200.0,37500.0,7.2,7.7,6.8,7.5,7.5,6.7,7.2
PES College of Engineering ,Karnataka,Engineering,76800.0,74450.0,7.7,7.9,6.7,7.7,8.5,7.3,8
CMR Institute of Technology ,Karnataka,Engineering,250000.0,140000.0,7.9,8.2,7.3,7.9,8.3,7.7,8
The National Institute of Engineering ,Karnataka,Engineering,44090.0,55590.0,8.1,8.5,7.6,8.3,7.8,8.4,7.9
"Alliance College of Engineering and Design, Bangalore ",Karnataka,Engineering,225000.0,150000.0,7.2,7.3,7.1,6.5,8.7,6.5,7.2
Basaveshwar Engineering College ,Karnataka,Engineering,65340.0,60000.0,7.7,8.1,7.9,8.1,8.1,6.6,7.2
"Christ University, Bangalore ",Karnataka,Engineering,170000.0,35000.0,8.3,8.5,7.4,8.2,8.9,8.1,8.8
Manipal Academy of Higher Education ,Karnataka,Engineering,335000.0,210000.0,8.4,8.5,8.2,8.6,8.8,7.8,8.4
Indian Institute of Science ,Karnataka,Engineering,29200.0,35200.0,9,9.6,8.5,9.4,9.5,8.4,8.4
"REVA University, Bangalore ",Karnataka,Engineering,225000.0,500000.0,8.4,8.3,8.1,8.3,9.3,7.8,8.4
"Alliance University, Bangalore ",Karnataka,Engineering,625000.0,150000.0,8,8.2,7.2,8.2,8.8,7.6,8
"Presidency University, Bangalore ",Karnataka,Engineering,210000.0,90000.0,8.3,8.2,7.6,8.6,8.8,8.2,8.3
Indian Institute of Technology ,Telangana,Engineering,222995.0,500895.0,8.5,8.7,8,8.7,8.5,8.3,8.6
National Institute of Technology ,Telangana,Engineering,130000.0,75000.0,8.4,8.6,7.9,8.2,8.5,8.6,8.4
International Institute of Information Technology ,Telangana,Engineering,300000.0,150000.0,8.3,9,8.2,8.5,7.8,9.2,6.9
Jawaharlal Nehru Technological University ,Telangana,Engineering,12500.0,18000.0,8,8.3,7.7,7.8,8.3,7.6,8.3
"University College of Engineering, Osmania University ",Telangana,Engineering,27770.0,39770.0,8.6,9,8.5,8.5,8.6,8.4,8.4
Chaitanya Bharathi Institute of Technology ,Telangana,Engineering,134000.0,151600.0,8.2,8.5,7.1,8.4,8.3,8.6,8.5
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,Engineering,131000.0,141700.0,8.4,8.4,8.1,8.2,8.5,8.4,8.5
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,Engineering,121650.0,72500.0,8.3,8.6,8.1,8.5,8.2,8.6,7.7
Institute of Aeronautical Engineering ,Telangana,Engineering,90000.0,70000.0,8.3,8.4,8.5,8.2,8.5,8,8.2
BV Raju Institute of Technology ,Telangana,Engineering,120000.0,70000.0,8.5,8.6,8.2,8.3,8.9,8.4,8.7
Vardhaman College of Engineering ,Telangana,Engineering,125000.0,57000.0,8.1,8.2,8.2,8.2,8.5,8.1,7.6
"Anurag University, Hyderabad ",Telangana,Engineering,135500.0,66500.0,8.3,8.5,7.5,8.2,8.9,8,8.4
Vasavi College of Engineering ,Telangana,Engineering,130000.0,100000.0,8,8.6,6.7,8.3,8,8.8,7.5
Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,Engineering,122000.0,75000.0,8,8.3,7.3,7.9,8.5,8.1,7.6
Kakatiya Institute of Technology & Science ,Telangana,Engineering,125960.0,74550.0,8.2,8.3,7.9,8.4,8.3,7.9,8.4
K L University ,Telangana,Engineering,265000.0,120000.0,7.9,7.9,7.4,8.1,8.2,7.6,8.1
Birla Institute of Technology and Science ,Telangana,Engineering,423475.0,469475.0,9,9,8.4,8.8,9.4,9.1,9.4
Mahatma Gandhi Institute of Technology ,Telangana,Engineering,108000.0,0.0,7.8,8.1,7.2,8.1,8.1,7.3,7.8
Malla Reddy Engineering College ,Telangana,Engineering,103000.0,57000.0,7.4,7.7,7.1,7.4,7.8,7.1,7.5
Malla Reddy College of Engineering ,Telangana,Engineering,72000.0,0.0,7,7.5,7.2,7,6.8,6.5,7.2
Indian Institute of Chemical Technology ,Telangana,Engineering,0.0,0.0,7.7,7,7,8.3,8,7.7,7.9
Sreenidhi Institute of Science and Technology ,Telangana,Engineering,520000.0,210000.0,7.6,7.8,6.9,7.5,7.8,7.7,7.6
"Mahindra University, Hyderabad ",Telangana,Engineering,470000.0,70000.0,8.8,9.1,8.6,9,9.1,7.8,8.9
"St Martin's Engineering College, Secunderabad ",Telangana,Engineering,80000.0,0.0,7.7,7.9,6.8,7.8,7.9,7.7,8.2
MLR Institute of Technology ,Telangana,Engineering,96000.0,57000.0,8.3,8.3,8.4,8.1,8.8,8,8.4
Keshav Memorial Institute of Technology ,Telangana,Engineering,111500.0,0.0,8.2,8.7,6.7,8.6,8.1,9,8.3
Vaagdevi College of Engineering ,Telangana,Engineering,86000.0,0.0,7.8,8,7.4,8,8,7.5,8
CMR Engineering College ,Telangana,Engineering,75000.0,57000.0,8.8,8.9,8.4,8.7,9.2,9,8.4
"Matrusri Engineering College, Hyderabad ",Telangana,Engineering,90000.0,0.0,7,7.6,5.7,7.2,7.6,7,6.7
Indian Institute of Technology ,Madhya pradesh,Engineering,228700.0,50800.0,8,8.4,7.6,8.1,7.7,7.8,8.4
Maulana Azad National Institute of Technology ,Madhya pradesh,Engineering,64939.0,104275.0,7.8,7.8,7.5,7.5,7.6,8.1,8.5
Indian Institute of Information Technology Design and ,Madhya pradesh,Engineering,137580.0,71000.0,7.9,8.2,7.5,8,8.1,7.5,8.3
Atal Bihari Vajpayee Indian Institute of Information ,Madhya pradesh,Engineering,75070.0,142250.0,7.6,7.5,7,7.1,8.2,7.7,8
"VIT Bhopal University, Bhopal ",Madhya pradesh,Engineering,198000.0,193000.0,7.9,8.6,7.7,8.4,7.1,8.1,7.4
"RKDF University, Bhopal ",Madhya pradesh,Engineering,55000.0,35000.0,7.6,8,7,7.8,8,6.5,8.2
Awadhesh Pratap Singh University ,Madhya pradesh,Engineering,40000.0,0.0,7.1,7.9,6.5,8.1,7.2,5.3,7.3
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh,Engineering,23920.0,62735.0,6.9,7.2,6.5,6.6,7.6,6.3,6.9
Institute of Information Technology & Management ,Madhya pradesh,Engineering,77000.0,60000.0,8.5,8.7,8,8.4,8.6,8.5,8.5
"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh,Engineering,82961.0,71100.0,7.7,7.9,6.6,7.3,7.4,8.4,8.4
Acropolis Institute of Technology & Research ,Madhya pradesh,Engineering,75100.0,25500.0,7.8,7.9,7,7.8,7.8,8,8.1
"Indian Institute of Information Technology -[IIIT], Bhopal ",Madhya pradesh,Engineering,179500.0,0.0,6,6.4,5.3,6.1,6.5,5,6.8
Jaypee University of Engineering and Technology ,Madhya pradesh,Engineering,189500.0,96500.0,7.9,7.8,7.9,7.5,8.9,7.4,7.6
Oriental University ,Madhya pradesh,Engineering,65000.0,30000.0,7.2,7.5,6.7,7.2,7.7,7.1,7.1
"Amity University, Gwalior ",Madhya pradesh,Engineering,164000.0,64000.0,8.6,8.8,8.5,8.4,9.3,8,8.3
